transaction_id,transaction_date,customer_id,product_id,category,quantity,unit_price,total_amount,discount_applied,payment_method,store_location,salesperson_id,profit,profit_margin_pct,data_quality_flag,is_outlier
10001,2024-03-24,2161,P008,Electronics,1,21421.45,20350.38,5.0,UPI,Store C (Bangalore),EMP019,11075.17,54.42,CLEAN,0
10002,2024-05-19,1162,P005,Clothing,3,3830.91,10918.09,5.0,UPI,Online,ONLINE,3382.89,30.98,CLEAN,0
10003,2024-01-14,2079,P216,Clothing,1,1093.46,1038.79,5.0,Debit Card,Store C (Bangalore),EMP029,519.84,50.04,CLEAN,0
10004,2024-03-12,1162,P203,Electronics,2,116724.48,233448.96,0.0,Debit Card,Store C (Bangalore),EMP039,114242.58,48.94,CLEAN,1
10005,2024-06-29,1206,P020,Home & Garden,1,5389.65,5389.65,0.0,UPI,Online,ONLINE,3211.65,59.59,CLEAN,0
10006,2024-02-03,2161,P229,Electronics,1,15859.59,15859.59,0.0,Debit Card,Store B (Delhi),EMP027,6263.94,39.5,CLEAN,0
10007,2024-03-09,1206,P227,Home & Garden,2,5352.49,10704.98,0.0,UPI,Store C (Bangalore),EMP047,3408.32,31.84,CLEAN,0
10008,2024-05-17,1906,P343,Clothing,3,1674.29,4771.73,5.0,Net Banking,Online,ONLINE,1485.85,31.14,CLEAN,0
10009,2024-01-16,1906,P394,Electronics,1,117122.09,105409.88,10.0,Net Banking,Store B (Delhi),EMP030,34813.5,33.03,CLEAN,1
10010,2024-04-17,1600,P309,Clothing,2,3880.81,6985.46,10.0,Unknown,Online,ONLINE,2906.89,41.61,CLEAN,0
10011,2024-06-30,2079,P222,Clothing,4,1872.42,7489.68,0.0,Credit Card,Online,ONLINE,3265.88,43.61,CLEAN,0
10012,2024-03-16,340,P144,Clothing,4,935.86,3743.44,0.0,UPI,Store C (Bangalore),EMP015,1743.2,46.57,CLEAN,0
10013,2024-01-14,2322,P144,Clothing,2,935.86,1871.72,0.0,Debit Card,Store A (Mumbai),EMP005,871.6,46.57,CLEAN,0
10014,2024-06-15,1906,P372,Clothing,4,4273.36,16238.77,5.0,Net Banking,Online,ONLINE,7853.84,48.36,CLEAN,0
10015,2024-01-30,2080,P276,Electronics,2,27925.8,55851.6,0.0,Debit Card,Online,ONLINE,21278.24,38.1,CLEAN,0
10016,2024-02-27,1513,P134,Books,3,1446.11,4338.33,0.0,Debit Card,Store B (Delhi),EMP013,2393.43,55.17,CLEAN,0
10017,2024-06-11,1437,P143,Food,10,805.89,7655.95,5.0,Credit Card,Store C (Bangalore),EMP041,3587.1,46.85,CLEAN,0
10018,2024-05-25,2414,P009,Clothing,4,696.53,2786.12,0.0,Debit Card,Online,ONLINE,1478.56,53.07,CLEAN,0
10019,2024-06-26,516,P292,Electronics,1,51558.49,48980.57,5.0,Cash,Store C (Bangalore),EMP028,15888.44,32.44,CLEAN,0
10020,2024-03-11,198,P372,Clothing,2,4273.36,8119.38,5.0,Cash,Store B (Delhi),EMP036,3926.92,48.36,CLEAN,0
10021,2024-01-05,1693,P261,Food,10,329.6,3131.2,5.0,Cash,Store B (Delhi),EMP020,965.39,30.83,CLEAN,0
10022,2024-04-12,531,P376,Electronics,2,145203.17,290406.34,0.0,Credit Card,Online,ONLINE,148143.12,51.01,CLEAN,1
10023,2024-04-05,2337,P106,Home & Garden,2,6413.2,12826.4,0.0,Cash,Store A (Mumbai),EMP029,4350.62,33.92,CLEAN,0
10024,2024-06-03,811,P248,Clothing,4,635.93,2416.53,5.0,Net Banking,Store A (Mumbai),EMP041,1138.94,47.13,CLEAN,0
10025,2024-06-08,264,P028,Food,9,543.86,4650.0,5.0,UPI,Store A (Mumbai),EMP017,2710.78,58.3,CLEAN,0
10026,2024-04-02,90,P207,Electronics,2,46910.39,93820.78,0.0,Cash,Store C (Bangalore),EMP008,36056.18,38.43,CLEAN,1
10027,2024-03-04,264,P014,Books,4,1532.98,5518.73,10.0,Debit Card,Store C (Bangalore),EMP021,2275.24,41.23,CLEAN,0
10028,2024-05-27,1971,P095,Food,6,475.61,2568.29,10.0,Credit Card,Store A (Mumbai),EMP048,1248.16,48.6,CLEAN,0
10029,2024-01-24,1525,P251,Food,2,329.13,625.35,5.0,Cash,Store C (Bangalore),EMP050,315.4,50.44,CLEAN,0
10030,2024-05-13,2337,P310,Home & Garden,2,3899.26,7408.59,5.0,Cash,Store C (Bangalore),EMP041,4196.66,56.65,CLEAN,0
10031,2024-06-23,2311,P085,Clothing,4,2319.34,8349.62,10.0,Net Banking,Store C (Bangalore),EMP036,3831.7,45.89,CLEAN,0
10032,2024-02-22,1487,P288,Electronics,1,34098.36,32393.44,5.0,UPI,Store C (Bangalore),EMP042,15329.93,47.32,CLEAN,0
10033,2024-04-28,524,P005,Clothing,4,3830.91,15323.64,0.0,Debit Card,Online,ONLINE,4747.92,30.98,CLEAN,0
10034,2024-04-05,1513,P208,Books,3,1543.4,4630.2,0.0,Debit Card,Store B (Delhi),EMP037,2208.93,47.71,CLEAN,0
10035,2024-05-25,2160,P031,Books,3,1671.22,4512.29,10.0,Net Banking,Store C (Bangalore),EMP039,1816.34,40.25,CLEAN,0
10036,2024-03-06,142,P089,Home & Garden,5,3874.96,19374.8,0.0,Debit Card,Store A (Mumbai),EMP020,6633.05,34.24,CLEAN,0
10037,2024-03-18,2337,P372,Clothing,2,4273.36,8546.72,0.0,Credit Card,Online,ONLINE,4133.6,48.36,CLEAN,0
10038,2024-04-23,751,P219,Home & Garden,1,1315.7,1315.7,0.0,Debit Card,Store C (Bangalore),EMP047,758.86,57.68,CLEAN,0
10039,2024-02-04,967,P298,Home & Garden,3,5623.21,16869.63,0.0,UPI,Store B (Delhi),EMP006,7636.89,45.27,CLEAN,0
10040,2024-05-18,262,P369,Home & Garden,5,5201.38,24706.56,5.0,Cash,Store B (Delhi),EMP023,11102.51,44.94,CLEAN,0
10041,2024-03-17,2079,P186,Clothing,3,3940.69,10639.86,10.0,Credit Card,Online,ONLINE,5080.24,47.75,CLEAN,0
10042,2024-01-24,2414,P351,Home & Garden,4,1628.07,6186.67,5.0,Cash,Store A (Mumbai),EMP023,3034.38,49.05,CLEAN,0
